id,date,open,high,low,close,volume,vol_fiat,sma10,sma20,sma30,sma50,sma100,sma200,sma400,sma500,sma1000,ema10,ema20,ema30,ema50,ema100,ema200,ema400,ema500,ema1000,macd1,macd2,macd3,macd4
1278,2025-06-06,20.17,20.44,20.03,20.06,70072846.0,1749240000000,20.462,20.676499999999997,20.456,21.1798,21.120500000000003,22.942600000000002,31.0254,31.321240000000003,37.588480000000004,0,0,0,0,0,0,0,0,0,-0.04534034,0,0,0
1277,2025-06-05,20.27,20.55,19.85,19.99,72595606.0,1749153600000,20.611,20.699,20.505,21.253200000000003,21.156399999999998,22.99775,31.061574999999998,31.33984,37.63046,0,0,0,0,0,0,0,0,0,-0.04716657,0,0,0
1275,2025-06-04,20.34,20.5,20.01,20.25,71166549.0,1749067200000,20.764,20.702,20.442999999999998,21.3152,21.2052,23.050900000000002,31.097375000000003,31.35792,37.67395,0,0,0,0,0,0,0,0,0,-0.03510595,0,0,0
1273,2025-06-02,19.482,19.82,19.3745,19.74,67885473.0,1748894400000,20.957,20.764000000000003,20.420333333333335,21.3806,21.2477,23.102800000000002,31.1308,31.37368,37.71933,0,0,0,0,0,0,0,0,0,-0.03566972,0,0,0
1271,2025-05-29,20.54,20.595,20.1,20.25,66485207.0,1748548800000,21.125,20.8065,20.424,21.4712,21.2947,23.159000000000002,31.164575,31.391119999999997,37.763349999999996,0,0,0,0,0,0,0,0,0,0.02194437,0,0,0
1269,2025-05-27,20.44,20.67,20.18,20.55,69504564.0,1748376000000,21.2,20.7695,20.48166666666667,21.588,21.3323,23.21,31.195425,31.408939999999998,37.806824999999996,0,0,0,0,0,0,0,0,0,0.06357569,0,0,0
1267,2025-05-23,20.16,20.27,19.94,20.05,68206064.0,1748030400000,21.176,20.684,20.55366666666667,21.691399999999998,21.3688,23.25955,31.229,31.42746,37.852055,0,0,0,0,0,0,0,0,0,0.09768697,0,0,0
1265,2025-05-21,21.19,21.6292,20.59,20.69,62904697.0,1747857600000,21.165,20.643,20.642333333333333,21.8382,21.416700000000002,23.3131,31.261100000000003,31.44418,37.896785,0,0,0,0,0,0,0,0,0,0.19863315,0,0,0
1263,2025-05-19,21.18,21.56,21.05,21.38,64279077.0,1747684800000,21.122999999999998,20.624000000000002,20.733333333333334,21.8964,21.4533,23.364250000000002,31.292225,31.45882,37.939885000000004,0,0,0,0,0,0,0,0,0,0.2820511,0,0,0
1262,2025-05-16,21.53,21.76,21.35,21.66,55795144.0,1747425600000,21.047,20.542,20.827333333333335,21.8882,21.4898,23.4119,31.32065,31.46996,37.981405,0,0,0,0,0,0,0,0,0,0.32615818,0,0,0
