id,date,open,high,low,close,volume,vol_fiat,sma10,sma20,sma30,sma50,sma100,sma200,sma400,sma500,sma1000,ema10,ema20,ema30,ema50,ema100,ema200,ema400,ema500,ema1000,macd1,macd2,macd3,macd4,Daily_Return,7Day_MA,27Day_MA,Volume_Category
1081,2024-11-14,25.12,25.61,24.9346,25.03,4.7936738E7,1731618000000,24.009,23.418,23.294,22.156999999999996,25.275199999999998,32.02565,33.9602,32.74975,0.0,0,0,0,0,0,0,0,0,0,0.16025224,0,0,0,-0.0035828025477706946,24.28375,23.26285714285714,High
910,2024-06-28,30.75,31.31,30.72,30.97,4.0414441E7,1719604800000,30.718,30.667,30.828333333333333,31.3342,36.8078,38.95715,34.7435875,34.41919,0.0,0,0,0,0,0,0,0,0,0,0.029026,0,0,0,0.00715447154471541,30.71875,30.769642857142866,High
714,2023-11-13,38.35,38.565,38.14,38.23,2.4558261E7,1699909200000,37.916000000000004,36.3235,36.297000000000004,36.3654,35.1682,32.4133,33.8627125,37.05653,0.0,0,0,0,0,0,0,0,0,0,0.26711512,0,0,0,-0.003129074315515112,38.17125000000001,36.41764705882353,High
778,2024-02-15,44.755,45.27,44.02,44.05,4.4024507E7,1708030800000,43.213,44.644,45.507666666666665,45.452799999999996,41.6044,37.434850000000004,33.9384625,36.28671,0.0,0,0,0,0,0,0,0,0,0,0.05876574,0,0,0,-0.015752429896101115,43.345,45.409642857142856,High
702,2023-10-26,32.89,33.22,32.145,32.52,5.9049509E7,1698350400000,34.861000000000004,35.4765,35.439,35.4654,34.6348,31.77645,34.1419875,37.40533,0.0,0,0,0,0,0,0,0,0,0,-0.31912054,0,0,0,-0.011249619945272042,33.742000000000004,33.742000000000004,High
813,2024-03-28,43.76,44.6,43.71,44.17,5.4204194E7,1711656000000,42.635000000000005,43.483999999999995,43.39866666666667,43.9506,43.9435,39.3716,34.3223875,36.034169999999996,0.0,0,0,0,0,0,0,0,0,0,0.02614329,0,0,0,0.009369287020109774,42.625,43.371428571428574,High
970,2024-08-12,19.87,19.97,19.0,19.36,5.4094506E7,1723492800000,22.988999999999997,27.892000000000003,29.509333333333334,29.956799999999998,32.7136,37.970549999999996,34.773275,33.919230000000006,0.0,0,0,0,0,0,0,0,0,0,-1.25182729,0,0,0,-0.025666834423754482,21.127499999999998,29.409642857142863,High
844,2024-05-03,30.98,31.055,30.7,30.9,3.6090042E7,1714766400000,32.379,34.4055,36.989000000000004,39.5754,42.5661,39.66895,34.4365625,35.42121,0.0,0,0,0,0,0,0,0,0,0,-0.1437969,0,0,0,-0.0025823111684958634,31.8875,36.61678571428571,High
1179,2025-02-20,25.56,26.12,24.48,26.09,1.44497001E8,1740085200000,22.096,21.297,20.836666666666666,21.1182,21.812199999999997,25.930300000000003,32.732350000000004,32.031279999999995,39.65078,0,0,0,0,0,0,0,0,0,0.7501611,0,0,0,0.020735524256651063,22.786250000000003,20.87,High
