id,date,open,high,low,close,volume,vol_fiat,sma10,sma20,sma30,sma50,sma100,sma200,sma400,sma500,sma1000,ema10,ema20,ema30,ema50,ema100,ema200,ema400,ema500,ema1000,macd1,macd2,macd3,macd4,Daily_Return,7Day_MA,27Day_MA,Volume_Category
1105,2024-12-09,20.92,21.06,20.73,20.81,6.7901929E7,1733778000000,23.044,23.8305,23.417333333333332,23.145,24.252,30.47025,33.734775,32.650349999999996,0.0,0,0,0,0,0,0,0,0,0,-0.50450862,0,0,0,-0.005258126195028823,22.6875,23.491785714285708,High
864,2024-05-21,31.98,32.24,31.62,31.74,4.2741159E7,1716321600000,31.047000000000004,31.361,32.797333333333334,36.5006,40.861999999999995,39.45075,34.4943625,35.055510000000005,0.0,0,0,0,0,0,0,0,0,0,0.63278575,0,0,0,-0.007504690431519762,31.297499999999996,32.4675,High
978,2024-08-19,20.885,21.86,20.835,21.52,6.4944249E7,1724097600000,20.149,25.2095,28.139,29.1896,31.849800000000002,37.6904,34.703125,33.770230000000005,0.0,0,0,0,0,0,0,0,0,0,-0.29472784,0,0,0,0.030404596600430833,20.19375,27.791428571428575,High
721,2023-11-22,44.03,44.63,43.54,43.67,3.1490545E7,1700686800000,41.412,39.107,37.83566666666666,37.0292,35.8298,32.8813,33.720012499999996,36.95183,0.0,0,0,0,0,0,0,0,0,0,0.62914198,0,0,0,-0.008176243470361104,42.182500000000005,38.263749999999995,High
1257,2025-05-12,22.18,22.67,21.88,22.18,9.4578691E7,1747080000000,20.64,20.2825,21.084333333333333,21.764,21.604200000000002,23.54795,31.411025,31.499779999999998,38.104905,0,0,0,0,0,0,0,0,0,0.36162191,0,0,0,0.0,20.73,20.86821428571428,High
723,2023-11-27,43.65,44.545,43.65,44.08,3.3320937E7,1701118800000,42.55,40.106,38.343333333333334,37.259,36.048899999999996,33.02055,33.6967875,36.923989999999996,0.0,0,0,0,0,0,0,0,0,0,0.4470815,0,0,0,0.00985108820160366,43.4825,38.706538461538464,High
1194,2025-03-06,20.26,21.13,20.0,20.75,9.4401002E7,1741294800000,23.811,21.953,21.430666666666664,20.938200000000002,22.0156,25.3985,32.5239,31.95734,39.433769999999996,0,0,0,0,0,0,0,0,0,-0.28207858,0,0,0,0.02418558736426448,23.125,21.591785714285713,High
1136,2025-01-08,19.825,20.12,19.71,19.88,4.6923293E7,1736370000000,20.121000000000002,20.1995,21.498333333333335,22.284000000000002,22.039099999999998,28.5026,33.254975,32.34181,0.0,0,0,0,0,0,0,0,0,0,0.15065346,0,0,0,0.002774274905422432,20.18625,21.2825,High
827,2024-04-15,36.04,36.7,35.89,36.31,4.5720502E7,1713211200000,38.585,40.704,41.87433333333333,42.408199999999994,44.0204,39.66585,34.4169875,35.84739,0.0,0,0,0,0,0,0,0,0,0,-0.56602998,0,0,0,0.007491675915649365,37.6975,41.69500000000001,High
