id,date,open,high,low,close,volume,vol_fiat,sma10,sma20,sma30,sma50,sma100,sma200,sma400,sma500,sma1000,ema10,ema20,ema30,ema50,ema100,ema200,ema400,ema500,ema1000,macd1,macd2,macd3,macd4,Daily_Return,7Day_MA,27Day_MA,Volume_Category
1102,2024-12-05,22.04,22.19,20.66,20.8,1.66990766E8,1733432400000,23.692,24.019,23.593,23.121799999999997,24.452800000000003,30.68845,33.79435,32.68035,0.0,0,0,0,0,0,0,0,0,0,-0.35812148,0,0,0,-0.05626134301270411,23.58875,23.59964285714285,High
991,2024-08-28,19.98,20.105,19.51,19.61,4.9545054E7,1724875200000,20.593,21.2805,24.978333333333335,27.746799999999997,30.2504,37.1643,34.60125,33.542809999999996,0.0,0,0,0,0,0,0,0,0,0,0.3611487,0,0,0,-0.01851851851851857,20.54625,24.28642857142857,High
841,2024-05-01,30.17,31.035,30.02,30.37,5.7748774E7,1714593600000,33.162,35.257,37.76266666666667,40.0762,42.7839,39.696999999999996,34.4365375,35.48375,0.0,0,0,0,0,0,0,0,0,0,-0.29657619,0,0,0,0.0066291017567119415,32.7975,37.43785714285714,High
958,2024-08-02,21.94,21.98,20.42,21.48,3.00503098E8,1722628800000,30.27,32.134,31.698,31.3108,34.1559,38.46785,34.905725000000004,34.15511,0.0,0,0,0,0,0,0,0,0,0,-1.07403871,0,0,0,-0.02096627164995446,29.547500000000003,31.758214285714295,High
1047,2024-10-09,23.25,23.48,23.06,23.46,4.2706886E7,1728504000000,23.038,22.222,21.427333333333333,21.7942,26.6971,34.299549999999996,34.101575,32.89119,0.0,0,0,0,0,0,0,0,0,0,0.03272434,0,0,0,0.009032258064516166,22.81875,21.54071428571429,High
818,2024-04-04,40.59,40.7798,39.7,39.73,5.7283793E7,1712260800000,42.527,43.055,43.16433333333334,43.481,44.1179,39.5635,34.3913125,36.007870000000004,0.0,0,0,0,0,0,0,0,0,0,-0.28789348,0,0,0,-0.021187484602118906,42.535000000000004,43.17714285714286,High
1011,2024-09-13,19.49,19.8,19.49,19.66,4.3840029E7,1726257600000,19.772,20.182499999999997,20.77766666666667,25.5576,28.4459,36.1977,34.389975,33.22453,0.0,0,0,0,0,0,0,0,0,0,0.56333461,0,0,0,0.008722421754746112,19.443749999999998,20.126428571428573,High
921,2024-07-08,33.03,34.09,32.82,33.99,7.7003711E7,1720468800000,31.256,31.006,30.834333333333333,31.045,36.2583,38.7887,34.792162499999996,34.350410000000004,0.0,0,0,0,0,0,0,0,0,0,0.28018142,0,0,0,0.02906448683015443,31.40625,30.84035714285715,High
1231,2025-04-14,20.59,21.05,19.9801,20.31,1.01964371E8,1744660800000,20.641,22.047,22.634999999999998,21.6772,21.9806,24.33885,31.956075000000002,31.67738,38.716925,0,0,0,0,0,0,0,0,0,-0.37905422,0,0,0,-0.013598834385624144,20.12375,22.354999999999997,High
746,2024-01-03,47.1,47.81,46.8,47.05,3.5858434E7,1704315600000,47.495,45.3705,44.951,41.6664,38.6004,35.05055,33.6466125,36.70395,0.0,0,0,0,0,0,0,0,0,0,0.05338116,0,0,0,-0.0010615711252654832,47.8875,45.04892857142857,High
