id,date,open,high,low,close,volume,vol_fiat,sma10,sma20,sma30,sma50,sma100,sma200,sma400,sma500,sma1000,ema10,ema20,ema30,ema50,ema100,ema200,ema400,ema500,ema1000,macd1,macd2,macd3,macd4,Daily_Return,7Day_MA,27Day_MA,Volume_Category
713,2023-11-10,38.24,38.99,38.24,38.86,3.8871279E7,1699650000000,37.662,36.24,36.20466666666667,36.333,35.1149,32.3687,33.8878125,37.07623,0.0,0,0,0,0,0,0,0,0,0,0.32531548,0,0,0,0.016213389121338843,38.05375000000001,36.304375,High
716,2023-11-15,39.585,40.84,39.58,40.61,4.7392143E7,1700082000000,38.539,36.7395,36.577,36.492,35.3113,32.51695,33.8041375,37.01947,0.0,0,0,0,0,0,0,0,0,0,0.36876838,0,0,0,0.02589364658330172,38.69375,36.79578947368421,High
744,2023-12-29,50.3,50.5699,49.77,50.25,2.9288707E7,1703883600000,46.985,45.11,44.45666666666667,41.2034,38.3544,34.827600000000004,33.6279125,36.71365,0.0,0,0,0,0,0,0,0,0,0,0.31097162,0,0,0,-9.94035785288214E-4,47.512499999999996,44.77428571428571,High
1124,2024-12-26,20.23,20.665,20.08,20.44,3.9287916E7,1735246800000,20.065,21.3405,22.496666666666666,22.599,22.7671,29.183000000000003,33.399875,32.45557,0.0,0,0,0,0,0,0,0,0,0,-0.06515337,0,0,0,0.010380622837370283,20.02375,22.273214285714285,High
745,2024-01-02,49.2,49.38,47.4527,47.8,4.5905728E7,1704229200000,47.308,45.253,44.73633333333333,41.438199999999995,38.4801,34.94195,33.6366625,36.70925,0.0,0,0,0,0,0,0,0,0,0,0.19717097,0,0,0,-0.02845528455284564,47.7175,44.93321428571428,High
1162,2025-02-03,18.97,19.75,18.78,19.38,7.4881613E7,1738616400000,20.469,20.154,20.124333333333333,21.5596,21.641399999999997,26.8501,32.91185,32.10158,0.0,0,0,0,0,0,0,0,0,0,0.01647093,0,0,0,0.021613073273589887,20.1325,20.116785714285715,High
940,2024-07-22,33.28,33.41,32.76,33.37,4.4227332E7,1721678400000,34.132999999999996,32.5495,31.929333333333332,31.470399999999998,35.4027,38.7331,34.8941625,34.286809999999996,0.0,0,0,0,0,0,0,0,0,0,0.0641214,0,0,0,0.002704326923076812,34.05875,32.025714285714294,High
1003,2024-09-06,19.44,19.49,18.64,18.89,8.9850216E7,1725652800000,20.034,20.27,22.300333333333334,26.4598,29.1275,36.61705,34.492875,33.35617,0.0,0,0,0,0,0,0,0,0,0,0.59615347,0,0,0,-0.028292181069958882,19.958750000000002,21.662857142857142,High
751,2024-01-10,48.24,48.3,46.94,47.47,3.1480186E7,1704920400000,48.132999999999996,46.685500000000005,45.568333333333335,42.9838,39.2347,35.588699999999996,33.7000375,36.67443,0.0,0,0,0,0,0,0,0,0,0,-0.15859581,0,0,0,-0.01596185737976789,47.853750000000005,45.678928571428564,High
