id,date,open,high,low,close,volume,vol_fiat,sma10,sma20,sma30,sma50,sma100,sma200,sma400,sma500,sma1000,ema10,ema20,ema30,ema50,ema100,ema200,ema400,ema500,ema1000,macd1,macd2,macd3,macd4,Daily_Return,7Day_MA,Volume_Category
1223,2025-04-07,19.14,20.67,18.56,19.57,1.42491152E8,1744056000000,22.688,22.6235,22.751666666666665,21.6924,22.1248,24.598850000000002,32.1339,31.760939999999998,38.916605000000004,0,0,0,0,0,0,0,0,0,-0.57481079,0,0,0,0.022466039707419002,22.3325,High
894,2024-06-17,30.34,31.0,30.18,30.98,3.1915165E7,1718654400000,30.645,30.79,30.771666666666665,32.3814,37.9312,39.1588,34.6757625,34.62651,0.0,0,0,0,0,0,0,0,0,0,0.12190326,0,0,0,0.02109426499670404,30.705,High
732,2023-12-08,41.84,42.955,41.81,42.7,4.2814959E7,1702069200000,43.208,42.618,40.855333333333334,38.7038,36.931599999999996,33.658249999999995,33.6106875,36.799730000000004,0.0,0,0,0,0,0,0,0,0,0,-0.47500757,0,0,0,0.020554493307839372,42.97124999999999,High
927,2024-07-12,33.77,35.475,33.77,34.49,6.1575786E7,1720814400000,32.357,31.5205,31.189,31.0724,35.9731,38.74195,34.8349125,34.33205,0.0,0,0,0,0,0,0,0,0,0,0.41963716,0,0,0,0.02132069884512878,32.75125,High
853,2024-05-10,30.33,30.455,29.84,29.85,3.9461855E7,1715371200000,30.52,32.6435,34.897666666666666,38.3322,41.902,39.573299999999996,34.4397125,35.250949999999996,0.0,0,0,0,0,0,0,0,0,0,0.15840413,0,0,0,-0.01582591493570712,30.42125,High
956,2024-08-01,30.43,30.71,28.89,29.05,1.06780831E8,1722542400000,31.419999999999998,32.6215,32.003,31.5178,34.4026,38.5426,34.92555,34.18657,0.0,0,0,0,0,0,0,0,0,0,-0.55476721,0,0,0,-0.0453499835688465,30.981250000000003,High
873,2024-06-03,31.03,31.065,30.05,30.29,3.4964612E7,1717444800000,30.935000000000002,30.835,31.459666666666667,34.7578,39.6207,39.302350000000004,34.557362499999996,34.86649,0.0,0,0,0,0,0,0,0,0,0,0.28832242,0,0,0,-0.02384788913954244,30.6775,High
1221,2025-04-04,21.7,22.2,19.7,19.85,1.75014739E8,1743796800000,23.143,22.821,22.74233333333333,21.706999999999997,22.153000000000002,24.655500000000004,32.16785,31.77918,38.955214999999995,0,0,0,0,0,0,0,0,0,-0.47914153,0,0,0,-0.08525345622119807,22.91875,High
1175,2025-02-18,24.6,27.55,24.49,27.39,2.77361151E8,1739912400000,20.859,20.6525,20.463,21.0462,21.6915,26.0926,32.763850000000005,32.03116,39.69925,0,0,0,0,0,0,0,0,0,0.65884387,0,0,0,0.11341463414634143,21.143749999999997,High
819,2024-04-05,39.35,39.46,38.51,38.71,6.7155035E7,1712347200000,42.156,42.683,43.022000000000006,43.2734,44.11729999999999,39.57915,34.3996625,35.99101,0.0,0,0,0,0,0,0,0,0,0,-0.44680683,0,0,0,-0.016264294790343088,42.145,High
1253,2025-05-07,19.97,20.37,19.82,20.31,6.1134293E7,1746648000000,20.339000000000002,20.1225,21.392999999999997,21.634,21.6659,23.680799999999998,31.512649999999997,31.526419999999998,38.219225,0,0,0,0,0,0,0,0,0,0.17561901,0,0,0,0.017025538307461185,20.411250000000003,High
