id,date,open,high,low,close,volume,vol_fiat,sma10,sma20,sma30,sma50,sma100,sma200,sma400,sma500,sma1000,ema10,ema20,ema30,ema50,ema100,ema200,ema400,ema500,ema1000,macd1,macd2,macd3,macd4,Daily_Return,7Day_MA,Volume_Category
757,2024-01-18,47.03,47.57,46.17,46.74,4.6681348E7,1705611600000,47.235,47.364999999999995,45.992,44.1254,39.931999999999995,36.07665,33.7555625,36.62805,0.0,0,0,0,0,0,0,0,0,0,-0.35238978,0,0,0,-0.006166276844567279,47.323750000000004,High
906,2024-06-26,30.64,30.68,30.2731,30.54,2.9984527E7,1719432000000,30.683999999999997,30.605,30.828333333333333,31.5544,37.0518,39.02515,34.7334375,34.46559,0.0,0,0,0,0,0,0,0,0,0,0.03810101,0,0,0,-0.003263707571801613,30.7025,High
966,2024-08-08,19.1,20.55,18.84,20.49,9.4991818E7,1723147200000,25.3,29.386000000000003,30.244666666666667,30.3924,33.1768,38.1337,34.817925,34.00343,0.0,0,0,0,0,0,0,0,0,0,-1.52992173,0,0,0,0.07277486910994749,23.8525,High
817,2024-04-03,41.4,41.65,40.22,40.33,8.3717226E7,1712174400000,42.774,43.294,43.289,43.6642,44.100100000000005,39.5344,34.3782875,36.02167,0.0,0,0,0,0,0,0,0,0,0,-0.11061213,0,0,0,-0.02584541062801933,42.89,High
809,2024-03-25,40.89,42.215,40.57,41.83,4.7276531E7,1711396800000,42.763999999999996,43.376,43.447,44.156800000000004,43.7215,39.17815,34.2712875,36.05789,0.0,0,0,0,0,0,0,0,0,0,-0.16662476,0,0,0,0.02298850574712638,42.396249999999995,High
1113,2024-12-16,20.17,21.1,20.0,20.83,7.2031531E7,1734382800000,21.443,22.962,23.146666666666665,23.0696,23.7834,30.02085,33.61025,32.59041,0.0,0,0,0,0,0,0,0,0,0,-0.42936346,0,0,0,0.032721864154685004,20.80625,High
944,2024-07-24,32.535,32.8,31.66,31.7,5.6711768E7,1721851200000,33.712,32.699,32.04566666666667,31.5498,35.192,38.7027,34.9088875,34.26861,0.0,0,0,0,0,0,0,0,0,0,-0.17130529,0,0,0,-0.025664668818195707,33.64125,High
1231,2025-04-14,20.59,21.05,19.9801,20.31,1.01964371E8,1744660800000,20.641,22.047,22.634999999999998,21.6772,21.9806,24.33885,31.956075000000002,31.67738,38.716925,0,0,0,0,0,0,0,0,0,-0.37905422,0,0,0,-0.013598834385624144,20.12375,High
1009,2024-09-12,19.43,19.54,19.04,19.36,5.1313538E7,1726171200000,19.767,20.195500000000003,21.126666666666665,25.7838,28.611900000000002,36.31615,34.41655,33.25597,0.0,0,0,0,0,0,0,0,0,0,0.5651031,0,0,0,-0.0036026762738034113,19.74125,High
900,2024-06-21,30.85,31.36,30.6701,31.09,8.583147E7,1719000000000,30.756,30.6235,30.764666666666667,31.9278,37.4317,39.108200000000004,34.7060375,34.54503,0.0,0,0,0,0,0,0,0,0,0,0.09914627,0,0,0,0.007779578606158782,30.738750000000003,High
1073,2024-11-06,24.3,25.12,24.05,25.05,1.14559359E8,1730926800000,22.872999999999998,22.8855,22.865666666666666,21.7938,25.4917,32.466100000000004,33.973675,32.74993,0.0,0,0,0,0,0,0,0,0,0,0.00913934,0,0,0,0.030864197530864196,22.988750000000003,High
1011,2024-09-13,19.49,19.8,19.49,19.66,4.3840029E7,1726257600000,19.772,20.182499999999997,20.77766666666667,25.5576,28.4459,36.1977,34.389975,33.22453,0.0,0,0,0,0,0,0,0,0,0,0.56333461,0,0,0,0.008722421754746112,19.443749999999998,High
700,2023-10-24,33.64,34.71,33.64,34.59,5.2673857E7,1698177600000,35.698,35.6985,35.84,35.5244,34.545300000000005,31.71585,34.2179875,37.48585,0.0,0,0,0,0,0,0,0,0,0,-0.16319102,0,0,0,0.02824019024970282,34.45333333333334,High
970,2024-08-12,19.87,19.97,19.0,19.36,5.4094506E7,1723492800000,22.988999999999997,27.892000000000003,29.509333333333334,29.956799999999998,32.7136,37.970549999999996,34.773275,33.919230000000006,0.0,0,0,0,0,0,0,0,0,0,-1.25182729,0,0,0,-0.025666834423754482,21.127499999999998,High
788,2024-03-01,43.41,44.2698,43.13,43.82,4.1426072E7,1709326800000,43.205,43.208999999999996,44.16433333333334,45.4446,42.4312,38.071149999999996,34.0803625,36.17669,0.0,0,0,0,0,0,0,0,0,0,0.23385354,0,0,0,0.009444828380557562,43.0025,High
702,2023-10-26,32.89,33.22,32.145,32.52,5.9049509E7,1698350400000,34.861000000000004,35.4765,35.439,35.4654,34.6348,31.77645,34.1419875,37.40533,0.0,0,0,0,0,0,0,0,0,0,-0.31912054,0,0,0,-0.011249619945272042,33.742000000000004,High
765,2024-01-29,43.71,43.99,42.81,43.84,5.1790863E7,1706562000000,47.125,47.442,47.08266666666667,45.4104,40.871700000000004,36.71795,33.8208625,36.54901,0.0,0,0,0,0,0,0,0,0,0,-0.56856502,0,0,0,0.0029741477922672743,47.26625,High
1144,2025-01-16,19.75,19.95,19.4,19.67,4.3961646E7,1737061200000,19.839,19.952,20.84,21.988200000000003,21.609,28.0058,33.144875,32.26224,0.0,0,0,0,0,0,0,0,0,0,0.17077751,0,0,0,-0.004050632911392319,19.783750000000005,High
1132,2025-01-03,20.39,20.665,20.06,20.56,4.8081194E7,1735938000000,19.982,20.532,21.819333333333336,22.4246,22.2661,28.72905,33.302875,32.38033,0.0,0,0,0,0,0,0,0,0,0,0.13117126,0,0,0,0.008337420304070533,20.1825,High
1211,2025-03-25,24.175,24.75,24.11,24.2,5.0582198E7,1742932800000,23.186,23.641,22.332333333333334,21.486,22.221500000000002,24.875100000000003,32.305524999999996,31.8474,39.131215,0,0,0,0,0,0,0,0,0,0.00300773,0,0,0,0.001034126163391875,23.897499999999997,High
837,2024-04-26,31.78,32.24,30.64,31.88,1.19693039E8,1714161600000,34.767,37.0865,38.936,40.8738,43.169799999999995,39.7361,34.439387499999995,35.57953,0.0,0,0,0,0,0,0,0,0,0,-0.22453942,0,0,0,0.003146633102580172,34.387499999999996,High
1096,2024-11-29,23.72,24.28,23.6,24.05,3.5618489E7,1732914000000,24.394,24.084,23.686333333333334,22.9392,24.699499999999997,30.999250000000004,33.8586,32.71105,0.0,0,0,0,0,0,0,0,0,0,-0.07218326,0,0,0,0.013912310286677988,24.32,High
1037,2024-10-02,22.67,23.0668,22.35,22.39,5.8700455E7,1727899200000,22.826,21.343,21.066,22.7234,27.0729,34.8195,34.169975,32.96383,0.0,0,0,0,0,0,0,0,0,0,0.23942198,0,0,0,-0.0123511248345832,23.159999999999997,High
718,2023-11-17,42.91,43.81,42.56,43.81,4.9701721E7,1700254800000,39.671,37.568,37.07966666666667,36.7114,35.5085,32.6533,33.762637500000004,36.99329,0.0,0,0,0,0,0,0,0,0,0,0.69028406,0,0,0,0.02097413190398522,39.99875,High
1134,2025-01-06,20.83,20.98,19.78,19.87,8.0679573E7,1736197200000,20.038999999999998,20.329,21.647333333333332,22.3556,22.1538,28.61845,33.279925,32.36073,0.0,0,0,0,0,0,0,0,0,0,0.13679114,0,0,0,-0.04608737397983665,20.22625,High
867,2024-05-24,30.29,31.02,30.1301,30.72,4.0744597E7,1716580800000,31.275,30.8975,32.187333333333335,35.7206,40.2987,39.3894,34.5239125,34.96907,0.0,0,0,0,0,0,0,0,0,0,0.45508294,0,0,0,0.01419610432485968,31.398749999999996,High
726,2023-11-30,44.65,45.09,44.41,44.7,4.6164571E7,1701378000000,44.112,41.3255,39.197,37.756,36.422,33.25015,33.676162500000004,36.889410000000005,0.0,0,0,0,0,0,0,0,0,0,0.22354495,0,0,0,0.0011198208286675086,44.245000000000005,High
738,2023-12-18,46.15,46.23,45.4,45.69,2.7895652E7,1702933200000,43.822,43.9135,42.49933333333333,39.8132,37.594,34.1603,33.5862625,36.74841000000001,0.0,0,0,0,0,0,0,0,0,0,-0.12541634,0,0,0,-0.009967497291440973,44.37874999999999,High
933,2024-07-16,34.36,34.45,33.835,34.34,2.8060122E7,1721160000000,33.081,31.8995,31.471666666666668,31.211799999999997,35.7855,38.73925,34.8549625,34.32007,0.0,0,0,0,0,0,0,0,0,0,0.37047435,0,0,0,-5.82072176949826E-4,33.612500000000004,High
914,2024-07-02,30.855,31.31,30.585,31.07,3.127737E7,1719950400000,30.766,30.7055,30.782,31.158,36.571799999999996,38.8837,34.7590625,34.384629999999994,0.0,0,0,0,0,0,0,0,0,0,0.04414732,0,0,0,0.00696807648679306,30.80125,High
826,2024-04-12,36.69,36.7,35.605,35.69,8.0254789E7,1712952000000,39.406,41.0205,42.12466666666667,42.5492,44.0634,39.6493,34.416712499999996,35.87843,0.0,0,0,0,0,0,0,0,0,0,-0.61412636,0,0,0,-0.027255382938130283,38.199999999999996,High
1242,2025-04-25,19.73,20.18,19.34,20.05,1.47703174E8,1745611200000,20.116999999999997,21.111,21.622666666666664,21.644000000000002,21.7996,23.99345,31.73225,31.587139999999998,38.465865,0,0,0,0,0,0,0,0,0,-0.02283246,0,0,0,0.016218955904713648,19.970000000000002,High
754,2024-01-16,46.98,47.22,46.38,47.06,4.3720666E7,1705438800000,47.44,47.2125,45.88666666666666,43.745200000000004,39.6643,35.89475,33.732687500000004,36.649629999999995,0.0,0,0,0,0,0,0,0,0,0,-0.26702912,0,0,0,0.0017028522775650362,47.44375,High
1265,2025-05-21,21.19,21.6292,20.59,20.69,6.2904697E7,1747857600000,21.165,20.643,20.642333333333333,21.8382,21.416700000000002,23.3131,31.261100000000003,31.44418,37.896785,0,0,0,0,0,0,0,0,0,0.19863315,0,0,0,-0.023596035865974516,21.424999999999997,High
770,2024-02-05,42.62,43.15,42.425,42.77,2.8890264E7,1707166800000,44.975,46.2355,46.719,45.5968,41.1541,36.9993,33.8289375,36.42347,0.0,0,0,0,0,0,0,0,0,0,-0.71605563,0,0,0,0.0035194744251526443,43.97125,High
1257,2025-05-12,22.18,22.67,21.88,22.18,9.4578691E7,1747080000000,20.64,20.2825,21.084333333333333,21.764,21.604200000000002,23.54795,31.411025,31.499779999999998,38.104905,0,0,0,0,0,0,0,0,0,0.36162191,0,0,0,0.0,20.73,High
1111,2024-12-13,20.6,20.8,20.25,20.34,5.4103676E7,1734123600000,21.725,23.173000000000002,23.185,23.0898,23.915,30.133249999999997,33.639475000000004,32.60557,0.0,0,0,0,0,0,0,0,0,0,-0.51891868,0,0,0,-0.012621359223301046,21.19375,High
716,2023-11-15,39.585,40.84,39.58,40.61,4.7392143E7,1700082000000,38.539,36.7395,36.577,36.492,35.3113,32.51695,33.8041375,37.01947,0.0,0,0,0,0,0,0,0,0,0,0.36876838,0,0,0,0.02589364658330172,38.69375,High
721,2023-11-22,44.03,44.63,43.54,43.67,3.1490545E7,1700686800000,41.412,39.107,37.83566666666666,37.0292,35.8298,32.8813,33.720012499999996,36.95183,0.0,0,0,0,0,0,0,0,0,0,0.62914198,0,0,0,-0.008176243470361104,42.182500000000005,High
888,2024-06-12,31.455,31.48,30.3899,30.76,4.6401419E7,1718222400000,30.589,30.913,30.753666666666668,33.0236,38.4649,39.19845,34.6417625,34.69743,0.0,0,0,0,0,0,0,0,0,0,0.20082993,0,0,0,-0.022095056429820275,30.606249999999996,High
734,2023-12-12,44.36,44.44,43.63,44.04,2.9937163E7,1702414800000,43.235,43.1925,41.43366666666667,39.0552,37.1391,33.823499999999996,33.593112500000004,36.77981,0.0,0,0,0,0,0,0,0,0,0,-0.32920316,0,0,0,-0.007213706041478816,42.838750000000005,High
1140,2025-01-13,18.92,19.249,18.73,19.2,5.0112074E7,1736802000000,19.984,20.031,21.142,22.1154,21.813000000000002,28.2472,33.197449999999996,32.30326,0.0,0,0,0,0,0,0,0,0,0,0.11363629,0,0,0,0.014799154334037926,19.875,High
720,2023-11-21,44.5,44.6612,43.3,43.64,3.7252056E7,1700600400000,40.837,38.565,37.60933333333333,36.93,35.7275,32.80905,33.7311125,36.967589999999994,0.0,0,0,0,0,0,0,0,0,0,0.7210387,0,0,0,-0.0193258426966292,41.58125,High
767,2024-01-31,42.57,43.785,42.36,43.08,5.1584247E7,1706734800000,46.413,46.8395,46.995666666666665,45.577600000000004,40.99850000000001,36.8439,33.8190375,36.49876999999999,0.0,0,0,0,0,0,0,0,0,0,-0.78241169,0,0,0,0.011980267794221235,46.155,High
878,2024-06-05,30.269,30.835,30.01,30.78,4.3719364E7,1717617600000,30.623,30.782,31.199666666666666,34.2742,39.2736,39.25415,34.5771375,34.81475,0.0,0,0,0,0,0,0,0,0,0,0.25532373,0,0,0,0.01688195843932746,30.38375,High
764,2024-01-26,44.18,45.41,43.35,43.65,1.27665287E8,1706302800000,47.452999999999996,47.775,47.106,45.3108,40.7847,36.64465,33.8233625,36.56821,0.0,0,0,0,0,0,0,0,0,0,-0.37632764,0,0,0,-0.011996378451788164,47.543749999999996,High
1067,2024-10-30,22.415,22.93,22.26,22.3,4.8321415E7,1730318400000,22.615000000000002,22.774,22.611666666666668,21.64,25.695700000000002,32.8292,33.991550000000004,32.77343,0.0,0,0,0,0,0,0,0,0,0,-0.19904919,0,0,0,-0.005130492973455206,22.55,High
984,2024-08-22,21.39,21.4,20.04,20.1,7.9500848E7,1724356800000,20.506,23.433500000000002,26.859666666666666,28.6008,31.210900000000002,37.49845,34.659225,33.66927,0.0,0,0,0,0,0,0,0,0,0,0.07641925,0,0,0,-0.06030855539971945,20.607499999999998,High
1185,2025-02-27,23.7,24.4,23.07,23.09,9.4037076E7,1740690000000,23.352,21.676,21.180666666666664,21.0596,21.9053,25.702600000000004,32.646275,32.01136,39.566720000000004,0,0,0,0,0,0,0,0,0,0.27142672,0,0,0,-0.02573839662447255,24.331250000000004,High
807,2024-03-22,42.25,42.8,42.09,42.57,2.8503057E7,1711137600000,43.067,43.434,43.49633333333333,44.273,43.6284,39.106,34.2574875,36.06959,0.0,0,0,0,0,0,0,0,0,0,-0.1284461,0,0,0,0.007573964497041427,42.57125,High
786,2024-02-28,42.44,42.45,41.91,41.99,2.692847E7,1709154000000,43.342,43.1875,44.361999999999995,45.5022,42.2787,37.9414,34.0510125,36.200489999999995,0.0,0,0,0,0,0,0,0,0,0,0.11845833,0,0,0,-0.01060320452403383,43.1475,High
749,2024-01-08,47.07,48.76,46.97,48.45,4.2135127E7,1704747600000,47.864999999999995,46.0805,45.294666666666664,42.421800000000005,38.984,35.368649999999995,33.6779375,36.684129999999996,0.0,0,0,0,0,0,0,0,0,0,-0.0954114,0,0,0,0.029318036966220578,48.22625,High
1098,2024-12-02,24.84,25.48,23.44,23.93,1.46140094E8,1733173200000,24.284,24.1465,23.706666666666667,23.0364,24.6314,30.9043,33.8452,32.70449,0.0,0,0,0,0,0,0,0,0,0,-0.08667168,0,0,0,-0.03663446054750403,24.206250000000004,High
727,2023-12-01,44.36,44.36,42.86,43.74,4.3928371E7,1701464400000,44.150999999999996,41.6275,39.466,37.9378,36.526399999999995,33.3291,33.6690875,36.87567,0.0,0,0,0,0,0,0,0,0,0,0.07957709,0,0,0,-0.013976555455365136,44.12,High
